brandOwner,brandName,packageWeight,serving_size_in_g,protein_in_g,fat_in_g,carbohydrate_in_g,energy_in_kcal,fiber_in_g,calcium_in_mg,iron_in_mg,sugars_added_in_g,cholesterol_in_g,milk,corn_syrup,artificial_flavor,vanilla,water,cream,dark_chocolate,palm_oil,lemon,salt,almonds,soy,coconut,pecans,hazelnuts,white_chocolate,honey,total_ingredients
"Fannie May Confections, Inc.",FANNIE MAY,85.0,28.0,7.14,35.7,57.1,500.0,7.1,64.0,7.14,42.9,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
Wehah Farm Inc,LUNDBERG FAMILY FARMS,94.0,31.0,6.45,22.6,64.5,452.0,6.5,29.0,6.45,16.1,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
Ghirardelli Chocolate Company,GHIRARDELLI,170.4,32.0,6.25,37.5,53.1,500.0,9.4,62.0,3.12,37.5,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,6.0
Ghirardelli Chocolate Company,GHIRARDELLI,151.0,15.0,0.0,26.7,66.7,467.0,6.7,0.0,4.8,60.0,0.0,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,18.0
Ghirardelli Chocolate Company,GHIRARDELLI,181.2,15.0,6.67,30.0,60.0,467.0,6.7,0.0,4.8,46.7,0.0,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,24.0
"Sweet Shop Candies, Inc.",SWEET SHOP USA,28.0,3.0,0.0,33.3,33.3,500.0,0.0,0.0,0.0,33.3,0.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,13.0
Sweet Candy Company,SWEETS,116.0,42.0,0.0,9.52,78.6,381.0,2.4,0.0,1.71,57.1,0.0,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,16.0
Astor Chocolate Corp.,ASTOR CHOCOLATE,85.0,43.0,4.65,32.6,51.2,535.0,7.0,44.0,11.6,44.2,0.0,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,15.0
"Godiva Chocolatier, Inc.",GODIVA,178.0,41.0,4.88,31.7,58.5,463.0,4.9,49.0,8.78,36.6,24.0,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,26.0
"Godiva Chocolatier, Inc.",GODIVA,81.0,41.0,4.88,31.7,58.5,463.0,4.9,49.0,8.78,36.6,24.0,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,23.0
Discover Images Incorporated,AFTER EIGHT,110.0,100.0,5.2,30.7,55.2,527.0,4.7,0.0,0.0,53.6,0.0,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,18.0
Pennsylvania Dutch Co Inc,KATHARINE BEECHER,567.0,40.0,5.0,30.0,57.5,475.0,5.0,0.0,2.7,40.0,12.0,True,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,18.0
Landies Candies Co. Inc.,LANDIES CANDIES,198.0,30.0,6.67,36.7,53.3,433.0,6.7,67.0,7.2,0.0,10.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
"Dillon Companies, Inc.",PRIVATE SELECTION,108.0,27.0,3.7,37.0,55.6,444.0,7.4,37.0,11.1,0.0,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,7.0
Seth Ellis Chocolatier ,FREE2B,40.0,40.0,10.0,45.0,40.0,575.0,7.5,50.0,9.0,27.5,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
Euphoria Chocolate Co.,EUPHORIA CHOCOLATE COMPANY,76.0,19.0,5.26,31.6,57.9,474.0,5.3,0.0,0.0,47.4,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,12.0
Kennebunkport Pie CompanyLLC,THE MAINE PIE CO.,765.0,96.0,5.21,28.1,37.5,396.0,3.1,42.0,1.5,21.9,151.0,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,19.0
"Hail Merry, Inc.",HAIL MERRY,85.0,85.0,8.24,28.2,44.7,412.0,9.4,118.0,4.24,27.1,0.0,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,5.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,42.0,7.14,31.0,52.4,524.0,7.1,143.0,6.43,38.1,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,19.0
Synergy CHC Corp.,ROSS CHOCOLATES,85.0,28.0,3.57,42.9,50.0,429.0,3.0,36.0,7.14,0.0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,8.0
Synergy CHC Corp.,ROSS CHOCOLATES,85.0,28.0,3.57,39.3,50.0,429.0,3.0,36.0,7.14,0.0,0.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,8.0
Synergy CHC Corp.,ROSS CHOCOLATES,85.0,28.0,3.57,39.3,50.0,429.0,3.0,36.0,7.14,0.0,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
"Wal-Mart Stores, Inc.",SAM'S CHOICE,133.0,40.0,10.0,37.5,50.0,550.0,10.0,100.0,11.2,35.0,0.0,True,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,9.0
"Wal-Mart Stores, Inc.",MEMBER'S MARK,567.0,28.0,7.14,35.7,50.0,536.0,10.7,0.0,8.57,35.7,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,11.0
Pearson Candy Company,7TH STREET CONFECTIONS,133.0,30.0,6.67,33.3,56.7,567.0,10.0,73.0,10.0,43.3,0.0,True,False,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,11.0
"Delhaize America, Inc.",TASTE OF INSPIRATIONS,125.0,42.0,7.14,31.0,52.4,524.0,7.1,95.0,7.14,42.9,0.0,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,19.0
Pearson Candy Company,7TH STREET CONFECTIONS,133.0,30.0,6.67,33.3,60.0,567.0,10.0,43.0,10.0,46.7,0.0,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,14.0
Pearson Candy Company,7TH STREET CONFECTIONS,133.0,30.0,6.67,33.3,56.7,567.0,10.0,53.0,10.0,43.3,0.0,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,10.0
"Godiva Chocolatier, Inc.",GODIVA,75.0,75.0,8.0,41.3,37.3,573.0,12.0,53.0,16.8,33.3,0.0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,9.0
Harmons Inc,HARMONS,142.0,14.0,7.14,42.9,50.0,571.0,7.1,0.0,7.71,35.7,36.0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,6.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,42.9,48.6,543.0,8.6,0.0,12.9,34.3,0.0,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,10.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,40.0,54.3,514.0,8.6,0.0,12.9,40.0,0.0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,14.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,37.1,62.9,514.0,11.4,57.0,10.3,40.0,0.0,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,20.0
"Seattle Chocolate Company, Inc",SETTLE CHOCOLATES,70.0,35.0,8.57,34.3,51.4,514.0,5.7,57.0,4.11,42.9,14.0,True,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,29.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,40.0,51.4,514.0,8.6,57.0,12.9,34.3,0.0,True,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,18.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATE,70.0,35.0,5.71,40.0,51.4,514.0,8.6,0.0,12.9,40.0,0.0,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,13.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,42.9,48.6,543.0,8.6,57.0,10.3,31.4,0.0,False,False,False,True,False,False,True,False,False,True,True,True,True,False,False,False,False,10.0
Hagensborg Chocolates Ltd.,HAGENSBORG,50.0,50.0,6.0,42.0,50.0,540.0,8.0,40.0,14.4,38.0,10.0,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,9.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,40.0,51.4,571.0,8.6,57.0,12.9,34.3,0.0,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,17.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATE,70.0,35.0,5.71,42.9,48.6,543.0,8.6,57.0,12.9,34.3,0.0,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,11.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATE,70.0,35.0,8.57,37.1,51.4,543.0,5.7,57.0,4.11,40.0,14.0,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,29.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATES,70.0,35.0,5.71,37.1,51.4,514.0,8.6,57.0,12.9,37.1,0.0,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,25.0
"Seattle Chocolate Company, Inc",SEATTLE CHOCOLATE,70.0,35.0,5.71,40.0,54.3,514.0,8.6,0.0,12.9,40.0,0.0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,14.0
Lindt & Sprungli (Schweiz) AG,LINDT,125.0,33.0,3.03,51.5,39.4,636.0,3.0,55.0,3.03,39.4,15.0,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,25.0
"John Kelly Foods, Inc.",JOHN KELLY CHOCOLATES,227.0,28.0,3.57,28.6,57.1,464.0,3.6,71.0,5.14,50.0,36.0,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,28.0
Raley's,RALEY'S,132.0,11.0,0.0,27.3,54.6,455.0,0.0,27.0,9.09,27.3,45.0,False,False,False,True,True,False,True,False,False,True,False,True,False,False,False,False,False,22.0
"Delhaize America, Inc.",TASTE OF INSPIRATIONS,133.0,11.0,0.0,27.3,45.4,455.0,0.0,0.0,9.09,36.4,45.0,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,29.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,9.41,40.0,47.1,565.0,11.8,47.0,4.24,28.2,0.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,9.0
"Delhaize America, Inc.",TASTE OF INSPIRATIONS,133.0,11.0,9.09,40.9,45.4,545.0,9.1,0.0,9.09,45.5,0.0,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,False,False,17.0
"Imperial Paint Co., Inc.",LA CONFITERIA DELAVIUDA,150.0,40.0,5.0,37.5,55.0,575.0,2.5,0.0,2.7,47.5,0.0,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,17.0
Harry and David,HARRY & DAVID,340.0,37.0,5.41,46.0,48.6,568.0,5.4,0.0,2.92,37.8,0.0,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,9.0
Lindt & Sprungli (Schweiz) AG,LINDT LINDOR,24.0,24.0,4.17,54.2,41.7,625.0,4.2,83.0,1.5,33.3,0.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,21.0
"108 Stitches, LLC.",BARON CHOCOLATIER,148.0,42.0,4.76,35.7,50.0,548.0,4.8,143.0,1.71,50.0,12.0,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,19.0
Empress Chocolate Company,EMPRESS,255.0,30.0,3.33,20.0,70.0,433.0,3.3,0.0,2.4,36.7,0.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.0
COCOTOPIA,COCOTOPIA,174.09684350978966,32.0,6.25,28.1,56.2,375.0,15.6,94.0,6.25,21.9,16.0,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,16.0
"Hy-Vee, Inc.",ZOET,174.09684350978966,40.0,5.0,37.5,52.5,575.0,2.5,52.0,1.25,45.0,12.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,22.0
Lindt & Sprungli (Schweiz) AG,LINDT,240.0,36.0,5.56,52.8,41.7,639.0,2.8,56.0,1.0,36.1,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,21.0
Mars Chocolate North America LLC,DOVE,170.1,30.0,6.67,36.7,56.7,567.0,3.3,133.0,1.67,43.3,17.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,21.0
Harry and David,HARRY & DAVID,113.0,38.0,5.26,44.7,47.4,605.0,10.5,26.0,6.58,36.8,0.0,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,11.0
Mars Chocolate North America LLC,DOVE,170.1,30.0,6.67,36.7,56.7,567.0,3.3,133.0,1.67,43.3,17.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,21.0
Mars Chocolate North America LLC,DOVE,150.5,30.0,6.67,36.7,56.7,567.0,3.3,133.0,1.67,43.3,17.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,21.0
Mars Chocolate North America LLC,DOVE,239.8,32.0,6.25,31.2,59.4,531.0,6.2,0.0,3.12,46.9,16.0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,9.0
"Orca Seafoods, Inc.",BLANXART,48.0,48.0,10.4,41.7,43.8,604.0,6.2,0.0,7.5,33.3,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,5.0
Lindt & Sprungli (Schweiz) AG,LINDT,144.0,36.0,5.56,52.8,41.7,639.0,2.8,56.0,1.0,36.1,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,21.0
"Safeway, Inc.",SIGNATURE SELECT,144.0,31.0,6.45,41.9,51.6,613.0,3.2,129.0,8.06,41.9,0.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,14.0
Mars Chocolate North America LLC,DOVE,150.5,30.0,6.67,40.0,53.3,567.0,3.3,100.0,2.0,43.3,17.0,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,19.0
Lindt & Sprungli (Schweiz) AG,LINDT,168.0,36.0,5.56,52.8,41.7,639.0,0.0,83.0,0.0,33.3,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,21.0
Lindt & Sprungli (Schweiz) AG,LINDT,168.0,36.0,5.56,52.8,41.7,639.0,0.0,83.0,0.0,33.3,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,21.0
Lindt & Sprungli (Schweiz) AG,LINDT,168.0,25.0,4.0,48.0,48.0,600.0,0.0,48.0,0.0,40.0,0.0,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,14.0
Lindt & Sprungli (Schweiz) AG,LINDT,168.0,36.0,5.56,52.8,41.7,639.0,0.0,83.0,0.0,33.3,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,21.0
Red Dot Trading Co.,DEBI LILLY,102.0,17.0,5.88,41.2,52.9,529.0,5.9,0.0,10.6,41.2,0.0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,17.0
Lindt & Sprungli (Schweiz) AG,LINDT,168.0,36.0,5.56,52.8,41.7,639.0,2.8,56.0,1.0,36.1,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,22.0
Lindt & Sprungli (Schweiz) AG,LINDT,144.0,36.0,5.56,52.8,41.7,639.0,2.8,56.0,1.0,36.1,14.0,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,22.0
Lindt & Sprungli (Schweiz) AG,LINDT,100.0,40.0,2.5,27.5,65.0,525.0,2.5,50.0,0.9,60.0,38.0,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,18.0
AFTER EIGHT,AFTER EIGHT,174.09684350978966,100.0,5.2,30.7,55.2,527.0,4.7,0.0,0.0,53.6,0.0,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,18.0
Chocolats Et Cafes Villars S.A.,VILLARS,100.0,42.0,4.76,21.4,54.8,429.0,4.8,48.0,6.43,45.2,0.0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,13.0
"Divine Chocolate, Inc.",DIVINE,100.0,42.0,7.14,33.3,57.1,524.0,9.5,48.0,4.29,35.7,12.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,9.0
Ghirardelli Chocolate Company,GHIRARDELLI,117.1,11.0,9.09,31.8,54.6,455.0,9.1,0.0,6.55,45.4,0.0,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,10.0
The Endangered Species Chocolate Co,ENDANGERED SPECIES CHOCOLATE,85.0,43.0,4.65,32.6,55.8,535.0,7.0,47.0,2.51,41.9,0.0,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,23.0
"JHG Enterprises, LLC",HUMBOLDT CHOCOLATE,50.0,50.0,4.0,30.0,58.0,460.0,6.0,52.0,8.0,42.0,10.0,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,21.0
"Ussac International, Inc.",PERUGINA,86.0,32.0,6.25,34.4,59.4,531.0,6.2,31.0,11.2,46.9,16.0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,12.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,7.06,47.1,44.7,588.0,11.8,47.0,4.24,25.9,12.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,8.0
"World's Finest Chocolate, Inc.",QUEEN ANNE,187.0,38.0,2.63,9.21,79.0,395.0,0.0,0.0,2.63,68.4,0.0,True,True,True,True,True,False,True,True,True,False,False,True,True,False,False,False,False,42.0
"Whole Foods Market, Inc.",365 WHOLE FOODS MARKET,85.0,32.0,6.25,37.5,53.1,594.0,9.4,0.0,12.2,37.5,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,8.0
"Divine Chocolate, Inc.",DIVINE,90.0,30.0,6.67,33.3,56.7,533.0,10.0,53.0,3.33,23.3,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,14.0
"Stark Group International, Inc.",HEIDI,80.0,40.0,5.0,35.0,55.0,550.0,2.5,200.0,0.9,52.5,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
"Belgium's Chocolate Source, Inc.",NIRVANA,100.0,42.0,9.52,42.9,38.1,548.0,7.1,48.0,1.29,26.2,0.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,9.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,7.06,42.4,49.4,565.0,9.4,47.0,4.24,30.6,0.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,18.0
"Ussac International, Inc.",BACI,150.0,43.0,6.98,39.5,48.8,558.0,4.7,93.0,6.28,44.2,23.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12.0
Lindt & Sprungli (Schweiz) AG,LINDT,150.0,30.0,6.67,40.0,50.0,533.0,3.3,57.0,3.33,36.7,0.0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,8.0
BOVETTI CHOCOLATS,BOVETTI CHOCOLATS,174.09684350978966,25.0,7.6,42.4,35.6,580.0,10.0,48.0,14.4,28.8,0.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7.0
The Endangered Species Chocolate Co,ENDANGERED SPECIES CHOCOLATE,85.0,43.0,6.98,37.2,53.5,558.0,9.3,93.0,3.35,37.2,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
"Orca Seafoods, Inc.",BLANXART,200.0,37.5,10.7,42.7,45.3,613.0,5.3,0.0,7.2,34.7,0.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,5.0
Mars Chocolate North America LLC,M&M'S,113.4,28.0,7.14,32.1,60.7,536.0,3.6,71.0,2.57,50.0,18.0,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,41.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,7.06,44.7,47.1,588.0,9.4,47.0,4.24,30.6,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,100.0,42.0,7.14,42.9,47.6,595.0,9.5,48.0,4.29,31.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
TCHO,TCHO,70.0,70.0,5.71,42.9,48.6,600.0,1.4,86.0,3.86,37.1,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
TCHO,TCHO,70.0,70.0,7.14,41.4,48.6,586.0,1.4,114.0,3.86,37.1,0.0,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False,14.0
Astra Radio Communications,SWEET SMILES,100.0,30.0,6.67,26.7,60.0,533.0,6.7,67.0,2.67,46.7,0.0,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,18.0
Lucchese Inc.,SWEET SMILES,100.0,30.0,6.67,26.7,60.0,533.0,6.7,67.0,2.67,46.7,0.0,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
The Endangered Species Chocolate Co,ENDANGERED SPECIES CHOCOLATE,85.0,43.0,6.98,41.9,46.5,512.0,9.3,47.0,4.19,25.6,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,8.0
Seth Ellis Chocolatier ,FREE2B,119.0,40.0,5.0,27.5,65.0,475.0,0.0,22.0,5.0,22.5,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,9.0
Lindt & Sprungli (Schweiz) AG,LINDT,100.0,40.0,5.0,30.0,62.5,525.0,7.5,100.0,1.8,47.5,12.0,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,19.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,7.06,35.3,56.5,541.0,11.8,47.0,4.24,37.6,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.0
"Divine Chocolate, Inc.",DIVINE,100.0,42.0,7.14,33.3,57.1,524.0,11.9,48.0,4.29,38.1,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.0
Nestle USA Inc.,DAMAK,70.0,33.0,9.09,36.4,48.5,545.0,6.1,30.0,1.52,33.3,15.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0
Nestle USA Inc.,DAMAK,480.0,40.0,10.0,37.5,50.0,550.0,7.5,0.0,1.8,35.0,12.0,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,100.0,42.0,7.14,45.2,45.2,595.0,11.9,48.0,4.29,26.2,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0
"Scharffen Berger Chocolate Maker, Inc.",SCHARFFEN BERGER,85.0,43.0,9.3,44.2,41.9,558.0,9.3,0.0,4.19,25.6,0.0,True,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,12.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,7.06,44.7,47.1,588.0,11.8,47.0,4.24,25.9,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,8.0
"Big Y Foods, Inc.",BIG Y,64.0,30.0,3.33,23.3,63.3,467.0,6.7,67.0,3.6,53.3,0.0,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,27.0
"Weis Markets, Inc.",WEIS QUALITY,174.09684350978966,64.0,0.0,25.0,62.5,484.0,4.7,38.0,3.12,54.7,0.0,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,False,False,27.0
"Wegmans Food Markets, Inc. ",WEGMANS,85.0,28.0,3.57,35.7,57.1,500.0,0.0,339.0,1.0,10.7,0.0,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,14.0
"Hammond's Candies Since 1920, LLC ",HAMMOND'S,64.0,64.0,4.69,25.0,59.4,469.0,6.2,31.0,0.0,46.9,0.0,False,False,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,18.0
"Godiva Chocolatier, Inc.",GODIVA,90.0,45.0,11.1,42.2,44.4,511.0,13.3,89.0,18.0,24.4,0.0,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,7.0
Barkeater Chocolates,BARKEATER CHOCOLATES,71.0,71.0,4.23,33.8,56.3,479.0,7.0,28.0,7.61,43.7,7.0,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,9.0
"Giant Eagle, Inc.",MARKET DISTRICT,85.0,43.0,4.65,32.6,60.5,488.0,7.0,47.0,4.19,48.8,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,9.0
BOVETTI CHOCOLATIER,BOVETTI CHOCOLATIER,174.09684350978966,25.0,8.0,45.6,31.2,596.0,10.8,480.0,14.4,23.6,0.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,7.0
Ghirardelli Chocolate Company,GHIRARDELLI CHOCOLATE,100.0,38.0,7.89,34.2,55.3,500.0,5.3,53.0,7.11,39.5,0.0,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,8.0
"Hy-Vee, Inc.",ZOET,152.0,19.0,5.26,31.6,47.4,526.0,5.3,42.0,10.5,42.1,0.0,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,7.0
Chocolat Bernrain Ag,CHOCOLAT STELLA,100.0,37.0,5.41,32.4,56.8,459.0,18.9,0.0,14.6,1.35,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
"Technical Knockout, Inc.",GREEN & BLACK'S,90.0,30.0,10.0,43.3,46.7,567.0,10.0,67.0,9.67,30.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0
Ghirardelli Chocolate Company,GHIRARDELLI,105.7,30.0,3.33,23.3,63.3,467.0,6.7,33.0,2.0,50.0,0.0,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,22.0
"Goya Foods, Inc. ",ANTIU XIXONA,125.0,25.0,20.0,32.0,16.0,452.0,16.0,80.0,2.88,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10.0
"Rainmaker Food Solutions, LLC",SUGARPOVA,100.0,30.0,6.67,43.3,46.7,600.0,13.3,33.0,4.67,26.7,0.0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,8.0
"Belgium's Chocolate Source, Inc.",NIRVANA ORGANIC,100.0,42.0,9.52,42.9,38.1,548.0,7.1,48.0,1.29,26.2,10.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,11.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,100.0,42.0,7.14,31.0,59.5,524.0,9.5,48.0,4.29,42.9,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.0
"Divine Chocolate, Inc.",DIVINE CHOCOLATE,85.0,42.5,7.06,32.9,61.2,518.0,9.4,47.0,4.24,42.4,0.0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,12.0
